NQF ID,Max Depth,Boolean Operators,Negations,Temporal Operators,Complexity Score
0710,8,41,16,56,121
0712,6,46,12,63,127
0038,5,180,0,204,389
0108,5,102,5,110,222
0405,5,26,2,34,67
0033,4,110,27,112,253
0385,4,90,3,83,180
0070,4,84,14,114,216
0083,4,47,8,63,122
0387,4,42,3,27,76
0418,4,32,3,36,75
0075,4,17,2,19,42
0104,4,17,8,26,55
0002,4,15,1,18,38
0068,4,13,3,15,35
0028,4,12,3,30,49
0036,3,57,9,64,133
0421,3,35,4,33,75
0081,3,28,7,44,82
0062,3,26,6,29,64
0018,3,21,3,31,58
0041,3,21,0,40,64
0069,3,9,1,19,32
0389,3,7,1,10,21
0024,2,27,1,34,64
0004,2,14,0,50,66
0110,2,13,1,28,44
0034,2,12,0,15,29
0052,2,12,1,17,32
0105,2,12,0,18,32
0056,2,11,1,14,28
0059,2,11,2,13,28
0055,2,10,1,13,26
0064,2,10,1,12,25
0101,2,10,0,13,25
0031,2,9,0,11,22
0089,2,9,0,24,35
0043,2,8,0,10,20
0022,2,7,0,11,20
0032,2,7,0,9,18
0088,2,5,0,19,26
0608,2,5,1,7,15
1401,2,5,0,7,14
0060,2,4,1,8,15
0086,1,4,0,18,23
0403,1,3,0,5,9
