NQF ID,IPP,NUMER,DENOM,DENEX,DENEXCEP,Result
0002,3/3,1/1,3/3,1/1,,Success
0004,2/2,1/1,2/2,0/0,,Success
0018,3/3,1/1,3/3,1/1,,Success
0022,5/5,1/1,5/5,,,Success
0024,10/10,1/1,10/10,1/1,,Success
0028,17/17,1/1,17/17,,1/1,Success
0031,4/4,1/1,4/4,0/0,,Success
0032,6/6,1/1,6/6,0/0,,Success
0033,4/4,1/1,4/4,1/1,,Success
0034,5/5,1/1,5/5,0/0,,Success
0036,3/3,1/1,3/3,1/1,,Success
0038,2/2,1/1,2/2,,,Success
0041,23/23,1/1,23/23,,0/0,Success
0043,5/5,1/1,5/5,,,Success
0052,3/3,1/1,3/3,1/1,,Success
0055,2/2,1/1,2/2,0/0,,Success
0056,2/2,1/1,2/2,0/0,,Success
0059,2/2,2/1,2/2,0/0,,Failure
0060,2/2,1/1,2/2,0/0,,Success
0062,2/2,1/1,2/2,0/0,,Success
0064,2/2,1/1,2/2,0/0,,Success
0068,2/2,1/1,2/2,,,Success
0069,3/3,1/1,3/3,1/1,,Success
0070,2/2,1/1,2/2,,0/0,Success
0075,2/2,1/1,2/2,,,Success
0081,3/3,1/1,2/2,,0/0,Success
0083,3/3,1/1,2/2,,0/0,Success
0086,2/2,1/1,2/2,,0/0,Success
0088,2/2,1/1,2/2,,0/0,Success
0089,2/2,1/1,2/2,,0/0,Success
0101,5/5,1/1,5/5,,0/0,Success
0104,3/3,1/1,3/3,,,Success
0105,2/2,1/1,2/2,0/0,,Success
0108,3/3,1/1,3/3,1/1,,Success
0110,22/22,1/1,2/2,,,Success
0385,2/2,1/1,2/2,,0/0,Success
0387,2/2,1/1,2/2,,0/0,Success
0389,2/2,1/1,2/2,,0/0,Success
0403,3/3,2/2,3/3,,,Success
0405,2/2,1/1,2/2,,0/0,Success
0418,24/24,1/1,24/24,5/5,0/0,Success
0421,5/5,0/0,5/5,0/0,,Success
0608,2/2,1/1,2/2,,0/0,Success
0710,2/2,0/1,2/2,0/0,,Failure
0712,3/3,2/2,3/3,0/0,,Success
1401,2/2,1/1,2/2,,,Success
